date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
2018-06-06,193.63,194.08,191.92,193.98,20933619,46.283,0.35,86390406.0
2018-06-07,194.14,194.2,192.335,193.46,21347180,46.1589,-0.27,86017594.0
2018-06-08,191.17,192.0,189.77,191.7,26656801,45.739,-0.91,85751096.4
2018-06-11,191.35,191.97,190.21,191.23,18308461,45.6268,-0.25,84170344.4
2018-06-12,191.385,192.611,191.15,192.28,16911141,45.8774,0.55,83396818.6
2018-06-13,192.42,192.88,190.44,190.7,21638391,45.5004,-0.82,82985464.8
2018-06-14,191.55,191.57,190.22,190.8,21610070,45.5242,0.05,83470866.6
2018-06-15,190.03,190.16,188.26,188.84,61719160,45.0566,-1.03,92355892.8
2018-06-18,187.88,189.22,187.2,188.74,18484869,45.0327,-0.05,92393320.6
2018-06-19,185.14,186.33,183.45,185.69,33578461,44.305,-1.62,95428855.0
2018-06-20,186.35,187.2,185.73,186.5,20628699,44.4983,0.44,96506454.8
2018-06-21,187.25,188.35,184.94,185.46,25711900,44.2501,-0.56,97637150.8
2018-06-22,186.12,186.15,184.7,184.92,27200449,44.1213,-0.29,98430444.6
2018-06-25,183.4,184.92,180.73,182.17,31663100,43.4651,-1.49,101270872.4
2018-06-26,182.99,186.53,182.54,184.43,24569199,44.0044,1.24,101681896.2
2018-06-27,185.228,187.28,184.03,184.16,25285330,43.94,-0.15,103000852.0
2018-06-28,184.1,186.21,183.8,185.5,17365240,44.2597,0.73,100977342.2
2018-06-29,186.29,187.19,182.91,185.11,22737670,44.1666,-0.21,100836374.2
2018-07-02,183.82,187.3,183.42,187.18,17731340,44.6605,1.12,99129408.2
2018-07-03,187.79,187.95,183.54,183.92,13954810,43.8827,-1.74,97607178.0
2018-07-05,185.26,186.41,184.28,185.4,16604250,44.2358,0.8,96741304.2
